company,domain,source,bucket,label,url,reason
netwitness.com,netwitness.com,nav_footer,nav,X-twitter,https://twitter.com/netwitness,stop word
netwitness.com,netwitness.com,nav_footer,nav,Youtube,http://www.youtube.com/@NetWitness_DefenceAccelerated,stop word
netwitness.com,netwitness.com,nav_footer,nav,Linkedin,https://www.linkedin.com/company/netwitness-platform,stop word
okta.com,okta.com,nav_header,solution,All Solutions,https://www.okta.com/solutions/,stop word
okta.com,okta.com,nav_footer,nav,Security,https://trust.okta.com/,stop word
okta.com,okta.com,nav_footer,nav,Okta on Youtube,https://www.youtube.com/OktaInc,social link
okta.com,okta.com,nav_footer,nav,Okta on X,https://x.com/okta,social link
okta.com,okta.com,nav_footer,nav,Okta on LinkedIn,https://www.linkedin.com/company/okta-inc-/,social link
okta.com,okta.com,nav_header,industry,Technology,https://www.okta.com/industries/technology/,stop word
nttdata.com,nttdata.com,sitemap,service,Security,https://www.nttdata.com/jp/ja/services/security,stop word
opswat.com,opswat.com,nav_footer,product,All Products,https://www.opswat.com/products,stop word
opswat.com,opswat.com,nav_footer,solution,Solutions,https://www.opswat.com/solutions,stop word
opswat.com,opswat.com,sitemap,solution,Platform,https://www.opswat.com/solutions/peripheral-removable-media/platform,stop word
opswat.com,opswat.com,sitemap,solution,Technology,https://www.opswat.com/solutions/email-security/industries-we-serve/technology,stop word
optiq.ai,optiq.ai,nav_footer,nav,Glossary,https://www.optiq.ai/glossary,stop word
outsystems.com,outsystems.com,sitemap,offering,Certifications,https://www.outsystems.com/evaluation-guide/security/certifications,stop word
outsystems.com,outsystems.com,nav_footer,nav,Training,https://learn.outsystems.com/training?_gl=1*i0c8as*_gcl_aw*R0NMLjE3NzQwMTgxMTYuQ2owS0NRanc0UFBOQmhEOEFSSXNBTW8taWN3VWZldWlTWVBIRnFqeGNOaDRlWlgzNlpDUGozbjRmUjhQSDdfQnJFMjlOSmpVaE0xMmsxRWFBbU1DRUFMd193Y0I.*_gcl_au*MTYwMTU2ODcxNS4xNzcyNzI0MTg5*_ga*MTYxMjcxNTE2My4xNzcyNzI0MTg5*_ga_ZD4DTMHWR2*czE3NzcwMzk2OTEkbzE5JGcwJHQxNzc3MDM5NjkyJGo1OSRsMCRoMA..*_ga_HGKNZZMWJS*czE3NzcwMzk2OTEkbzE2NyRnMCR0MTc3NzAzOTY5MiRqNTkkbDEkaDM4OTI3NDQyMA..*_ga_65CD8793GS*czE3NzcwMzk2OTEkbzM5JGcwJHQxNzc3MDM5NjkyJGo1OSRsMSRoMTU4NDQxMjUyOQ..,stop word
outsystems.com,outsystems.com,nav_footer,nav,Services,https://www.outsystems.com/success-services,stop word
oracle.com,oracle.com,sitemap,offering,Product Tours,https://www.oracle.com/cloud/product-tours/,stop word
parallels.com,parallels.com,nav_header,product,all products,https://www.parallels.com/products/,stop word
parallels.com,parallels.com,sitemap,product,Use Cases,https://www.parallels.com/products/ras/use-cases/,stop word
parallels.com,parallels.com,nav_header,solution,all solutions,https://www.parallels.com/solutions/,stop word
parallels.com,parallels.com,nav_header,offering,GitHub,https://www.parallels.com/apps/github/,stop word
picussecurity.com,picussecurity.com,nav_header,nav,Use Cases,https://www.picussecurity.com,stop word
paloaltonetworks.com,paloaltonetworks.com,sitemap,offering,Product Tours,https://www.paloaltonetworks.com/cortex/cloud/product-tours,stop word
paloaltonetworks.com,paloaltonetworks.com,sitemap,service,Certification,https://www.paloaltonetworks.com/services/education/certification,stop word
pingcap.com,pingcap.com,nav_footer,offering,Security,https://www.pingcap.com/security/,stop word
pingcap.com,pingcap.com,nav_header,nav,Certifications,https://www.pingcap.com/education/certification/,stop word
pingidentity.com,pingidentity.com,sitemap,platform,Solutions,https://www.pingidentity.com/fr/platform/solutions.html,stop word
pingidentity.com,pingidentity.com,nav_footer,nav,the Platform,https://www.pingidentity.com/en/platform.html,stop word
pingidentity.com,pingidentity.com,nav_footer,nav,Our Capabilities,https://www.pingidentity.com/en/capability.html,stop word
pingidentity.com,pingidentity.com,nav_footer,nav,Our Solutions,https://www.pingidentity.com/en/solution.html,stop word
privybyidfy.com,privybyidfy.com,nav_header,solution,Solutions,https://www.privybyidfy.com/solutions,stop word
privybyidfy.com,privybyidfy.com,nav_footer,nav,YouTube,https://www.youtube.com/playlist?list=PLx1UwAZhQG6eGPxM3ymszDMTaDBGitmk9,stop word
